idCinema;nom;adresse;nbSalles;nbFauteuils
267;TRIANON;3 BIS RUE MARGUERITE RENAUDIN;1;270
268;CINE SEL;47 GRANDE RUE;1;380
269;SALLE PAUL ELUARD;PLACE MARCEL POINTET;1;699
270;ESPACE JEAN-MARIE POIRIER;ESPLANADE DU 18 JUIN 1940;1;205
271;LE CAPITOLE;3 RUE LEDRU ROLLIN;4;644
272;LE CRATERE;RUE JEAN MOULIN;1;439
273;LES TROIS PIERROTS;6-8 RUE DU MONT VALERIEN;2;466
274;LES YEUX D ELSA;11 BIS AVE JEAN JAURES;1;168
275;ECRAN;14 PASSAGE DE L ACQUEDUC;2;398
276;GAUMONT;8 RUE DU MONDIAL 1998;9;1513
277;ESPACE CULTUREL LES 26 COULEURS;IMPASSE PASTEUR;1;222
278;LES 4 PERRAY;44/46 AV GABRIEL PERI;4;728
279;C 2 L;25/27/29 RUE DU VIEUX MARCHE;5;742
280;LES TOILES OLYMPIC;PLACE FRANCOIS TRUFFAUT;3;487
281;LE LIDO;70 AV DE LA REPUBLIQUE;1;425
282;LES 4 DELTA 4;81 BIS AVENUE DU BAC;4;1001
283;CINES CARNE;PLACE MARCEL CARNE;3;496
284;UTOPIA;1 PLACE MENDES-FRANCE;5;513
285;ESPACE 1789;7/9 RUE DES ROSIERS;2;683
286;STUDIO 207;207 RUE DE PARIS;2;328
287;PATHE BELLE EPINE;CENTRE COMMERCIAL BELLE EPINE;16;3679
288;MEGA CGR;PROMENADE DU 7ÈME ART;16;2974
289;CINEMA LE GRENIER A SEL;PLACE DU 8 MAI 1945;1;218
290;JACQUES TATI;29 BIS AV CHARLES DE GAULLE;3;524
291;EUROPACORP CINEMAS AEROVILLE;RUE DES BUISSONS;12;2380
292;STUDIO DES CHAMPS LASNIERS;AVENUE DU BERRY;1;210
293;UGC LES ULIS;CENTRE COMMERCIAL LES ULIS 2;4;600
294;LES VARIETES;72 RUE DE CHELLES;1;311
295;LE VANVES;12 RUE SADI CARNOT;1;192
296;CINEMA CONFLUENCES VARENNES;PETIT FOSSARD;9;1603
297;LE NORMANDY;72 BOULEVARD DE LA REPUBLIQUE;2;295
298;L'ANTARES;1, PLACE DU COEUR BATTANT;2;217
299;LA GRANGE;RUE AMBROISE PRO;1;285
300;UGC VELIZY;CENTRE COMMERCIAL VELIZY II;7;962
301;ESPACE MAURICE BEJART;3 BLVD ANDRE MALRAUX;1;312
302;UGC CYRANO;7 RUE RAMEAU;8;1590
303;UGC ROXANE;6 RUE ST SIMON;4;769
304;CINEMA JEAN MARAIS;59 BD CARNOT;1;199
305;LE COLOMBIER;PLACE CHARLES DE GAULLE;1;279
306;CINEMA D ART ROMAIN ROLLAND;18 RUE EUGENE VARLIN;1;616
307;ANDRE MALRAUX;28 AVENUE DE VERDUN;1;212
308;ESPACE CULTUREL;56BIS AVENUE CARNOT;1;448
309;LE CASINO;13 RUE GUILLAUME BUDE;1;220
310;CINEMA SORANO;1 RUE CHARLES PATHE;1;204
311;LE VINCENNES;30 AV DE PARIS;4;481
312;CALYPSO A;38 RUE VICTOR BASCH;3;551
313;3 CINES ROBESPIERRE;19 AVENUE MAXIMILIEN ROBESPIERRE;3;549
314;CINEMA PARADISO (EX-STUDIO 209);2 RUE MARC SANGNIER;1;214
315;MEGARAMA;44 AVENUE DE LA LONGUE BERTRANE;18;3728
316;UGC CINE CITE;CENTRE COMMERCIAL CRETEIL SOLEIL;12;2858
317;UGC CINE CITE SQY OUEST;1 AV. DE LA SOURCE DE LA BIEVRE;16;3612
318;MEGARAMA;82 BOULEVARD VICTOR BORDIER;8;1861
319;CGR MY PLACE SARCELLES;2 ALLEE HENRI DUNANT;10;1817
320;PATHE;21 PLACE DU GRAND OUEST;9;1894
